dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
059_SMD_id_3_Facility_tr_757_1st_857,0.066783,0.778708,0.071850,0.798426,0.174415,0.071685,1406.863618,0.981037
058_SMD_id_2_Facility_tr_1087_1st_1187,0.450865,0.897022,0.373213,0.928412,0.446327,0.864906,1.469702,0.267531
072_SMD_id_16_Facility_tr_7119_1st_15849,0.771519,0.981478,0.667507,0.971204,0.750377,0.341133,585.465433,0.649597
075_SMD_id_19_Facility_tr_564_1st_664,0.189986,0.885818,0.077060,0.779656,0.159962,0.034589,357.157786,0.622589
077_SMD_id_21_Facility_tr_3026_1st_3126,0.313798,0.919598,0.206575,0.886164,0.299695,0.285714,4.481554,0.343685
060_SMD_id_4_Facility_tr_7176_1st_10609,0.869492,0.988668,0.702585,0.936499,0.670194,0.991870,8.891879,0.268343
078_SMD_id_22_Facility_tr_500_1st_326,0.084786,0.496433,0.079154,0.646933,0.219636,0.147847,10416.163259,3.389256
061_SMD_id_5_Facility_tr_7176_1st_15144,0.130964,0.801195,0.110006,0.791556,0.210441,0.603302,2.019123,0.334557
062_SMD_id_6_Facility_tr_7180_1st_15131,0.685924,0.972736,0.610363,0.964528,0.733243,0.896856,492.381165,0.586545
064_SMD_id_8_Facility_tr_2272_1st_2372,0.351585,0.891652,0.294606,0.858915,0.411253,0.220705,3.792711,0.310736
065_SMD_id_9_Facility_tr_737_1st_837,0.273495,0.785226,0.263349,0.825056,0.469613,0.183811,7.478725,0.252829
063_SMD_id_7_Facility_tr_5923_1st_6506,0.648639,0.948113,0.606266,0.882891,0.581091,0.922406,0.516591,0.352617
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.355389,0.844630,0.392502,0.760252,0.488296,0.775907,0.252750,0.308029
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.224411,0.647705,0.238817,0.645276,0.278235,0.935633,0.167671,0.228253
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.051308,0.548868,0.047501,0.521291,0.097959,0.631822,0.281731,0.237400
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.014450,0.773583,0.153525,0.754228,0.254516,0.682190,0.081664,0.156869
115_PSM_id_1_Facility_tr_50000_1st_129872,0.116224,0.504945,0.098677,0.475165,0.205153,0.498348,0.183497,0.244518
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.086298,0.737916,0.156522,0.685041,0.226182,0.588152,0.244325,0.260709
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.040016,0.687537,0.049658,0.631071,0.065189,0.665957,0.204096,0.249156
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.060444,0.701945,0.047964,0.657335,0.105181,0.584527,0.244794,0.235517
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.177096,0.694090,0.211190,0.687564,0.209695,0.942900,0.405185,0.310379
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.053654,0.597357,0.064628,0.562422,0.073617,0.697485,0.248130,0.246952
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.041595,0.580173,0.056417,0.511682,0.118041,0.785414,0.072637,0.149053
096_SVDB_id_13_Medical_tr_500_1st_444,0.065489,0.655869,0.075252,0.619304,0.087426,0.696667,0.241799,0.247420
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.045423,0.750277,0.142857,0.736479,0.236582,1.000000,0.316107,0.330418
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.228091,0.743674,0.255891,0.692972,0.350385,0.924903,0.193037,0.246560
