dataset_id,family,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
GHL_id_16,GHL,200001,184427,0,0,2728,197273,0.0144016425108922,0.0228193336287143,0.0037676910277538,0.0154037860883942,0.0143519623828351,0.0227794294946791,0.0037834137887171,0.0154387667162021,146986,146332,125,0.3017955895348621,0.0111452287636467,0.3279260387852666,0.0098924619958519,0.0299799589030047,0.6847169389125084,,ok,
GHL_id_2,GHL,200001,184427,0,0,1847,198154,0.0152816740305433,0.025085683868632,0.0041130141681892,0.0161830090545219,0.0151902924593196,0.0249797294123986,0.0041264559983262,0.0160298758658333,147867,147332,125,0.3380803325796178,0.006940122264526,0.3736945470926084,0.0062457651042105,0.0196957810096818,0.0459931290752296,,ok,
GHL_id_18,GHL,200001,184427,0,0,5549,194452,0.0135113080600697,0.0222748051772906,0.0029468542823092,0.0141642979479483,0.0133729101156861,0.0221295693196312,0.0029611490572839,0.014120415501668,144165,143337,125,0.2625960035141263,0.0196559372018575,0.2865240998488055,0.0181923719344345,0.0595781392063223,0.6104207543056464,,ok,
GHL_id_20,GHL,200001,184427,0,0,1191,198810,0.013210633325397,0.0213251872301725,0.0035683857965331,0.0137646268501307,0.0131650534321963,0.0212547095494021,0.0035713956918927,0.013730066086407,148523,148141,125,0.217094128198803,0.0037256647609799,0.2481503034141853,0.0034683475638688,0.0120158485689933,0.0402875264270613,,ok,
Genesis,Genesis,16220,14429,0,0,50,16170,0.2908175719918578,0.1952201926751336,0.1175392318754822,0.1361038921107174,0.2953381007011466,0.1959113052476116,0.1146388542390133,0.135780568031931,11828,11163,125,0.9161682127396412,0.0876678636822654,0.9706984012495828,0.0277613396705979,0.0876699568585046,0.1545893719806763,,ok,
GHL_id_21,GHL,200001,184427,0,0,971,199030,0.0154508491843489,0.0254056858885351,0.0035214691205812,0.0177586059883968,0.0154025132363767,0.0253593995648272,0.0035294824995851,0.0177992437327686,148743,148361,125,0.1810603931643134,0.0031042539200263,0.2036964589984743,0.002836238219089,0.0104148871154537,0.009663085718835,,ok,
GHL_id_24,GHL,200001,184427,0,0,1009,198992,0.0159517057855452,0.0244059545560368,0.0038553941635557,0.0166410203395437,0.0159102037402174,0.0243652686019211,0.0038645533540144,0.0166105271035577,148705,148323,125,0.4003903608776937,0.0041756706137001,0.4284420458498189,0.0038134297301378,0.0123671618814573,0.0793051953155702,,ok,
GHL_id_25,GHL,200001,184427,0,0,3144,196857,0.0152311021005988,0.026358262910571,0.003256720389852,0.0209774841933379,0.0151261489910774,0.0262658648299386,0.0031964973529196,0.0210076667576697,146570,145899,125,0.2015780907262981,0.0103035395242233,0.233988929828772,0.0092068934384585,0.0316269329629356,0.4154141349536296,,ok,
GHL_id_3,GHL,200001,184427,0,0,1919,198082,0.0146737707027927,0.0227826778245446,0.0036706384113026,0.0146555890852836,0.0146198393670138,0.0227279239452941,0.0036825512936745,0.0146059187140754,147795,147276,125,0.2159129922554483,0.0063355592706181,0.2440620477945939,0.0056372430410423,0.0208663141112936,0.1050948625026646,,ok,
GHL_id_4,GHL,200001,184427,0,0,2713,197288,0.0153919098398904,0.0242935146485717,0.0035236446724562,0.0203337153654141,0.0152927600342098,0.0241997221043658,0.0035378680827213,0.0202665246974932,147001,146332,125,0.3049554810633592,0.009670500751614,0.3353896163646527,0.0088646333939443,0.0294742457064628,0.427056164145366,,ok,
GHL_id_23,GHL,200001,184427,0,0,3734,196267,0.013588099640425,0.0216384810937714,0.0033280926616744,0.0166889061311729,0.0134704032290919,0.0215216089747224,0.0032840867309663,0.0165127460197837,145980,145165,125,0.3058996572744251,0.0134735685404346,0.3270460928029494,0.0123586606340932,0.0439538882003647,0.3968044459881903,,ok,
GHL_id_5,GHL,200001,184427,0,0,2283,197718,0.0159112196373605,0.0250604191732909,0.003386685587036,0.0184014186879622,0.01577527552786,0.0249276331238732,0.003335219653111,0.0181853835482933,147431,146762,125,0.3684105818213676,0.0087799367705539,0.3937564296796447,0.0081242416929363,0.0253401207220541,0.2427194115893052,,ok,
GHL_id_22,GHL,200001,184427,0,0,6492,193509,0.0142835942239532,0.0259156189216023,0.003469483604377,0.0206165770113821,0.0140799118071085,0.0257396085293622,0.0033586902722878,0.0205315533039869,143222,142099,125,0.4538991249671043,0.0292980534483631,0.4745047626782903,0.0273129136802218,0.07969458698499,0.4794388822897222,,ok,
GHL_id_7,GHL,200001,184427,0,0,1695,198306,0.0160609779340793,0.0262514901399212,0.0045293185191288,0.0174416699855478,0.0159894087043581,0.0262046375262659,0.0044817857211386,0.0174056758822707,148019,147350,125,0.3735513248542589,0.0067162244991616,0.3995988697218273,0.0061199650748066,0.0193930677908743,0.0719025453104882,,ok,
GHL_id_6,GHL,200001,184427,0,0,1866,198135,0.0162944167832943,0.0243726642608484,0.0035852442535485,0.0192189576227178,0.0161931467279091,0.0242685551303397,0.003596402575989,0.0191692945695028,147848,147332,125,0.2932358606275762,0.0071698521954895,0.3197808420567121,0.0063450023154867,0.0207461421635156,0.2205380826070481,,ok,
GHL_id_8,GHL,200001,184427,0,0,1168,198833,0.0163634823772846,0.0250548535936254,0.0055959933293434,0.0175218932579149,0.016315258004515,0.025001897337051,0.0055557562908302,0.0174197339556051,148546,148164,125,0.2594739017923005,0.0039964306591474,0.2868791378389227,0.0036459151978651,0.0130527841348276,0.0116121848405312,,ok,
CATSv2_id_5,CATSv2,350000,340214,0,0,17100,332900,0.1001580045948497,0.0894204799158597,0.0065488180264593,0.054612897979175,0.1000637572239386,0.0893652081975255,0.0064201061808193,0.0540363562162229,302096,298365,296,0.728462297214449,0.4476502075927068,0.763883406328683,0.4517394143663849,0.5014758669311792,0.74757039621231,,ok,
LTDB_id_5,LTDB,100000,94775,0,0,505,99495,0.1902066534612191,0.2724509780933775,0.1902066534612189,0.2724509780933873,0.1894161624782041,0.2716500678175488,0.1894161624782038,0.2716500678175589,83777,82171,7,0.568637420956026,0.0061252503273318,0.5023114246196836,0.0058679102360022,0.013217422917165,0.0744233902083511,,ok,
GHL_id_9,GHL,200001,184427,0,0,2387,197614,0.0148729349703305,0.0276732290599172,0.0033475086740952,0.0244593517108613,0.0147466901795884,0.0275560093840313,0.0032974981269514,0.0244638590682104,147327,146658,125,0.3628890739416081,0.0090531523838629,0.3864050826067869,0.0084252927125235,0.0261844958256559,0.2607794361525705,,ok,
MITDB_id_10,MITDB,150000,138176,0,0,574,149426,0.047450935589732,0.1379809553303521,0.0474509355897318,0.1379809553303518,0.0468553551488883,0.1374973196783772,0.046855355148888,0.1374973196783764,111639,110970,255,0.6957994566991336,0.0347698747089526,0.7771717541706427,0.1547234240872957,0.246680715459981,0.6666666666666666,,ok,
MITDB_id_5,MITDB,100000,91926,0,0,465,99535,0.0188523846051152,0.1028126821582456,0.0188523846051153,0.10281268215824,0.0186508337724374,0.1024493730423917,0.0186508337724375,0.1024493730423857,74248,73866,271,0.8236636920821605,0.0386352183522751,0.8990737417975592,0.064711493498264,0.0777753858760296,1.0,,ok,
CATSv2_id_3,CATSv2,400000,390933,0,0,28000,372000,0.0963628972157556,0.0888261849594191,0.0063213569885845,0.043780849692467,0.0960330162215885,0.0886123840603513,0.0033754655200626,0.0422290569576961,343593,336418,125,0.7819419271313364,0.4114346755960945,0.7915646688751968,0.4378669845161996,0.4634363721287655,0.6619757429867605,,ok,
MITDB_id_6,MITDB,200000,184426,0,0,353,199647,0.0623847928175604,0.1675679607668952,0.0623847928175602,0.1675679607668905,0.0622679451647006,0.1674516063667777,0.0622679451647005,0.1674516063667731,149360,148978,125,0.9066852144176112,0.1906985196789759,0.9273575033755016,0.3500122658313753,0.4893218920839814,1.0,,ok,
CreditCard,CreditCard,284807,284233,0,0,492,284315,1.349945124401341,0.74850597677065,1.2457304869668868,0.73470827552625,1.3360893792227968,0.7464477975837728,1.2258427309280968,0.7351933778584282,283530,204451,30,0.6205857210076594,0.0382200298062855,0.7261834381797456,0.0050785184313432,0.0245350932283736,0.0288600288600288,,ok,
MSL_id_1,MSL,1827,1253,0,0,11,1816,0.1834364538118597,0.087034942378695,3.135597390814734e-08,0.0001748713623034,0.1931155738736568,0.0881305318890608,3.1445812357989246e-08,0.0001752514632592,1029,647,125,0.5555166199439328,0.055188804900104,0.8738883078652636,0.0072444014539938,0.017241007201848,0.1170212765957446,,ok,
MSL_id_10,MSL,6100,5068,0,0,131,5969,290.5899071917711,0.5443237403699218,1.2076441915266449e-08,9.365380037861018e-05,9.384069325186292,0.1936534567196719,1.181579535969089e-08,9.296077086504126e-05,4157,3775,125,0.890169181995015,0.2579107117743429,0.9372636883189388,0.1431091391207679,0.3820183175303441,0.6822916666666666,,ok,
MSL_id_11,MSL,2156,1582,0,0,101,2055,0.1463004261446593,0.0534474763352345,1.9467290214508743e-08,0.0001356425139559,0.1010670405659737,0.0410824233492379,1.9187513262077397e-08,0.0001346109501035,1229,847,244,0.8941051769410518,0.4608287376783436,0.9616217534149902,0.3434729205291091,0.4476487962006514,0.9758454106280192,,ok,
