dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.046814,0.715478,0.035637,0.629260,0.087746,0.499639,0.239407,0.319651
081_LTDB_id_3_Medical_tr_500_1st_26,0.518392,0.709843,0.412257,0.628456,0.511362,0.826536,0.609690,0.448418
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.275094,0.887813,0.291975,0.884100,0.344031,0.988129,0.147377,0.221371
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.105190,0.948367,0.105563,0.939080,0.219439,0.999261,0.172488,0.253926
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.128802,0.749422,0.083761,0.652827,0.106773,0.688971,0.384440,0.345537
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.074481,0.791068,0.053454,0.724919,0.107186,0.933798,0.098639,0.179761
096_SVDB_id_13_Medical_tr_500_1st_444,0.125250,0.779822,0.125905,0.689336,0.147106,0.614028,0.869882,0.585171
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.056598,0.737376,0.039635,0.651951,0.093340,0.479431,0.575232,0.311033
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.336572,0.829074,0.245907,0.753675,0.351319,0.728881,0.702975,0.481446
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.277821,0.878376,0.259763,0.838983,0.328535,0.780341,0.493530,0.397613
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.077564,0.754912,0.057528,0.672127,0.123496,0.662647,0.111371,0.180275
098_SVDB_id_15_Medical_tr_500_1st_303,0.159650,0.708606,0.110705,0.617995,0.179735,0.475971,1.035385,0.678561
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.011035,0.665739,0.008830,0.620074,0.028030,0.672076,0.111514,0.207240
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.214998,0.868937,0.146948,0.781532,0.216133,0.772409,0.076816,0.186316
105_SVDB_id_22_Medical_tr_500_1st_417,0.404543,0.855157,0.268168,0.752590,0.383071,0.803463,0.558673,0.447957
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.398339,0.787774,0.402508,0.786215,0.393190,1.000000,0.104122,0.195914
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.091402,0.678235,0.079837,0.577469,0.112907,0.842574,0.089959,0.180336
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.205071,0.809440,0.138269,0.734835,0.264210,0.839446,0.112443,0.200733
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.110548,0.841676,0.084872,0.783969,0.178928,0.789558,0.078790,0.163002
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.238674,0.788692,0.241382,0.791823,0.312985,0.761884,0.390793,0.347618
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.324465,0.746295,0.240274,0.674918,0.355088,0.233908,283.508607,0.386129
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.019934,0.672711,0.014323,0.590382,0.034739,0.333918,0.439844,0.345231
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.052302,0.857399,0.046818,0.838710,0.088952,0.783237,0.214654,0.276332
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.220038,0.765543,0.153071,0.719324,0.244261,0.436127,1.785204,0.784117
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.603399,0.948489,0.529394,0.927798,0.669610,0.870206,0.667191,0.479107
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.271395,0.841939,0.173391,0.740570,0.282366,0.851880,0.335382,0.298813
127_TAO_id_12_Environment_tr_500_1st_24,0.831682,0.926694,0.048827,0.488284,0.092574,0.092522,0.145594,0.288975
116_TAO_id_1_Environment_tr_500_1st_3,0.815441,0.928059,0.050386,0.494607,0.094810,0.094671,0.118693,0.258590
086_SVDB_id_3_Medical_tr_533_1st_633,0.193303,0.759429,0.120497,0.655802,0.212030,0.553714,0.655184,0.478898
