dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.048396,0.731098,0.058130,0.634366,0.068946,0.505195,0.065654,0.126436
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.249756,0.895013,0.265131,0.891432,0.378374,0.984222,0.096264,0.182815
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.068666,0.707897,0.054251,0.616634,0.085318,0.667789,0.376466,0.359712
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.061702,0.761054,0.064378,0.687963,0.103916,0.797159,0.012122,0.070758
096_SVDB_id_13_Medical_tr_500_1st_444,0.082051,0.726375,0.058939,0.626907,0.106566,0.620506,0.648918,0.448590
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.101695,0.954269,0.155745,0.947972,0.219853,1.000000,0.145113,0.216039
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.139419,0.839908,0.079407,0.775755,0.168213,0.917934,0.048033,0.125258
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.060122,0.749707,0.042028,0.667652,0.101558,0.458492,0.301014,0.249143
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.239748,0.786824,0.173856,0.706021,0.253293,0.744379,0.864237,0.528463
098_SVDB_id_15_Medical_tr_500_1st_303,0.149679,0.700108,0.103430,0.607985,0.166539,0.485223,1.028168,0.657455
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.083680,0.775272,0.060858,0.698333,0.129585,0.591525,0.124230,0.176303
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.217525,0.876064,0.207497,0.840083,0.264618,0.752217,0.482390,0.355857
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.017929,0.783249,0.015469,0.742397,0.044495,0.802260,0.051473,0.141135
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.278192,0.881027,0.186780,0.789838,0.256841,0.794422,0.077441,0.165123
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.233241,0.784720,0.164043,0.734031,0.260965,0.468752,1.495750,0.663872
105_SVDB_id_22_Medical_tr_500_1st_417,0.222653,0.782078,0.146574,0.682075,0.253114,0.756024,0.599318,0.471901
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.020145,0.638994,0.014634,0.540227,0.035677,0.645577,0.366004,0.330936
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.516257,0.827784,0.518582,0.826395,0.465052,0.999866,0.049439,0.114603
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.328527,0.769505,0.247230,0.706914,0.387147,0.325186,558.396053,0.514976
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.282046,0.792281,0.287430,0.797974,0.353475,0.804341,0.461590,0.357374
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.276120,0.818894,0.172608,0.754092,0.312141,0.906916,0.087234,0.152220
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.108542,0.831245,0.079226,0.764487,0.183033,0.778932,0.048861,0.129264
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.041433,0.839561,0.036641,0.817347,0.079653,0.774551,0.118645,0.192046
