dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
076_SMD_id_20_Facility_tr_5925_1st_17580,0.479863,0.990244,0.616169,0.989453,0.557073,1.000000,171.520286,0.567265
059_SMD_id_3_Facility_tr_757_1st_857,0.029504,0.635258,0.022737,0.648662,0.095185,0.022457,36636.819216,3.992678
075_SMD_id_19_Facility_tr_564_1st_664,0.080390,0.714747,0.038501,0.771509,0.104289,0.524702,947.761574,1.506128
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.521568,0.772011,0.528088,0.768285,0.550522,0.987867,0.825624,0.307579
077_SMD_id_21_Facility_tr_3026_1st_3126,0.231655,0.850155,0.112880,0.821241,0.219064,0.125964,109.504167,0.642411
058_SMD_id_2_Facility_tr_1087_1st_1187,0.270034,0.861742,0.208292,0.900084,0.368181,0.620017,4.673308,0.554350
060_SMD_id_4_Facility_tr_7176_1st_10609,0.500047,0.979759,0.365823,0.932435,0.584107,0.881037,46.994674,0.332820
072_SMD_id_16_Facility_tr_7119_1st_15849,0.647595,0.925052,0.672890,0.965880,0.790352,0.341028,2392.380712,1.228858
078_SMD_id_22_Facility_tr_500_1st_326,0.079807,0.567032,0.053377,0.621598,0.146423,0.084644,10856.837587,4.043539
061_SMD_id_5_Facility_tr_7176_1st_15144,0.153273,0.793421,0.138847,0.786816,0.214284,0.493544,7.222362,0.451565
062_SMD_id_6_Facility_tr_7180_1st_15131,0.628417,0.950998,0.690019,0.967482,0.708048,0.878681,423.699928,0.717561
065_SMD_id_9_Facility_tr_737_1st_837,0.176122,0.617939,0.148149,0.630825,0.287014,0.722435,31.073652,0.669423
064_SMD_id_8_Facility_tr_2272_1st_2372,0.273388,0.807681,0.198665,0.857189,0.320256,0.207709,39.931487,0.496550
063_SMD_id_7_Facility_tr_5923_1st_6506,0.343864,0.799743,0.464976,0.809759,0.514090,0.791706,0.590604,0.407711
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.536081,0.980221,0.360068,0.925580,0.497552,0.877030,0.108457,0.207654
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.192086,0.894508,0.223245,0.870694,0.432643,0.971413,0.785902,0.160915
081_LTDB_id_3_Medical_tr_500_1st_26,0.470213,0.687453,0.386549,0.614296,0.508064,0.769018,1.179676,0.800955
115_PSM_id_1_Facility_tr_50000_1st_129872,0.124507,0.518485,0.103632,0.498643,0.207858,0.530035,0.440030,0.320452
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.183091,0.862255,0.154860,0.793457,0.224007,0.975247,0.056913,0.131775
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.043068,0.674628,0.032102,0.599657,0.066083,0.601326,0.465467,0.417101
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.010749,0.762105,0.031152,0.741769,0.059159,0.757598,0.111051,0.205819
096_SVDB_id_13_Medical_tr_500_1st_444,0.162493,0.759641,0.134834,0.671929,0.171535,0.742438,0.924781,0.560714
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.218395,0.870020,0.232664,0.865591,0.341251,0.991003,0.190313,0.243568
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.061008,0.692745,0.052027,0.611432,0.089805,0.822646,1.072206,0.529676
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.119483,0.771212,0.099321,0.689843,0.171060,0.841977,0.039906,0.110070
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.191870,0.858079,0.124160,0.793786,0.220328,0.919452,0.091413,0.163149
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.087076,0.955130,0.087638,0.948873,0.171573,1.000000,0.160697,0.220454
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.053230,0.713203,0.037142,0.628440,0.079556,0.543232,0.412810,0.284441
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.041296,0.671805,0.049773,0.558937,0.059168,0.615106,0.095579,0.175538
098_SVDB_id_15_Medical_tr_500_1st_303,0.132012,0.659450,0.089863,0.561262,0.145421,0.392130,1.080546,0.658065
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.244853,0.854847,0.212457,0.813646,0.315895,0.820056,0.641878,0.476833
