pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1
192,SMAP_id_19,SMAP,0.0538003349254833,0.9198887843414604,0.0180641120438449,0.8246495579953401,0.07430167033354,0.2897196261682243
96,SMAP_id_2,SMAP,0.7667064466772964,0.9162275730129856,0.7413724559309535,0.9039122181751614,0.721867261078353,1.0
192,SMAP_id_2,SMAP,0.7229550373643954,0.8447159708826202,0.6978117401231893,0.8211550447333604,0.7356899096435127,1.0
96,SMAP_id_20,SMAP,0.1346345186955636,0.9213003718225996,0.113874988020385,0.9037360194269792,0.237532690015595,0.0443384982121573
192,SMAP_id_20,SMAP,0.0535142081879681,0.7645473353788609,0.0459838074635412,0.7383184023964589,0.1151175897816943,0.0443384982121573
96,SMAP_id_21,SMAP,0.1131131824815104,0.9215774525362702,0.031511397281604,0.7416212411644902,0.1018047051441819,0.4063745019920319
192,SMAP_id_21,SMAP,0.0056008654426012,0.3134901043394072,0.0040652780929447,0.2293688351104189,0.0139361917089201,0.0216790648246546
96,SMAP_id_22,SMAP,0.5513493471290016,0.75944693924433,0.6113279422579628,0.7298294717093929,0.722007965030865,0.9685279187817258
192,SMAP_id_22,SMAP,0.7147751618514917,0.95068499267698,0.8203413352331088,0.9449460480464418,0.8520130338716502,0.9685279187817258
96,SMAP_id_23,SMAP,0.0619541792164518,0.7826359421906856,0.0483085360969728,0.7692324702032152,0.186966785407229,0.2426035502958579
192,SMAP_id_23,SMAP,0.0430707446631181,0.7638415896173248,0.0375253522076974,0.7502653517015678,0.145053305271526,0.2554517133956386
96,SMAP_id_24,SMAP,0.2180129261904606,0.9788329665391798,0.1025050582275301,0.9245058305412088,0.2318792355550286,0.942528735632184
192,SMAP_id_24,SMAP,0.0448079563343674,0.915493954829698,0.0164211133606692,0.8487248891685077,0.0571419286148613,0.1392190152801358
96,SMAP_id_25,SMAP,0.0576053264243611,0.5204560217799179,0.0414801101071609,0.5432351684491287,0.1571152672421178,0.6870748299319728
192,SMAP_id_25,SMAP,0.0636172011920518,0.6571474361267636,0.0428474345589197,0.5967582282414481,0.1627075724200246,0.6847457627118644
96,SMAP_id_26,SMAP,0.1047648951726758,0.78539264872386,0.0321805276267016,0.6756342176789847,0.1731808563174687,0.4475138121546961
