dataset_id,n_train_baseline_rows,n_channels_used,sliding_window,VUS_PR_max,VUS_PR_median,VUS_PR_mean,VUS_ROC_max,VUS_ROC_median,VUS_ROC_mean,AUC_PR_max,AUC_PR_median,AUC_PR_mean,AUC_ROC_max,AUC_ROC_median,AUC_ROC_mean,Standard_F1_max,Standard_F1_median,Standard_F1_mean,PA_F1_max,PA_F1_median,PA_F1_mean,err_max,err_median,err_mean,status,error
GHL_id_2,34713,19,125,0.006940122264526018,0.00692841055165465,0.00667403969874316,0.3736945470926084,0.3797643437186061,0.24352312278435073,0.006245765104210543,0.006326112423875963,0.0052353871311022005,0.33808033257961784,0.3465706691495585,0.20211018190589997,0.019695781009681813,0.019700402780867897,0.01830080902060451,0.045993129075229615,0.09723355531573268,0.0792024013722127,,,,ok,
GHL_id_21,34713,19,125,0.0031042539200263537,0.003111222375164877,0.004166393610178996,0.20369645899847438,0.2310885077522435,0.02919943844952628,0.002836238219089046,0.0029284006873906616,0.0024346147976336656,0.18106039316431344,0.2111038899113843,0.0036400124538098553,0.010414887115453767,0.010396654412972406,0.00966298955581098,0.009663085718835056,0.009663085718835056,0.009663085718835056,,,,ok,
GHL_id_24,34713,19,125,0.004175670613700101,0.004635407013023796,0.004595027463633734,0.4284420458498189,0.47492730348142986,0.24566304477341824,0.0038134297301378114,0.004209490174112623,0.003027929913729255,0.40039036087769375,0.450502958100103,0.20933089988607,0.012367161881457325,0.011785165196380967,0.010039251583246688,0.07930519531557023,0.10323834859569243,0.07719378777446255,,,,ok,
GHL_id_23,34713,19,125,0.013473568540434683,0.01526512929738611,0.012118740815493684,0.3270460928029494,0.4055405485272136,0.17766102518745602,0.012358660634093221,0.01394753673608588,0.01026928097925333,0.3058996572744251,0.38653429709556725,0.15138749685209735,0.04395388820036476,0.0459568004311029,0.03665509946466988,0.39680444598819037,0.6077849537441089,0.5639779721412375,,,,ok,
GHL_id_25,34713,19,125,0.010303539524223379,0.010556996667823991,0.01088486953507966,0.23398892982877204,0.21319809795438047,0.2166914004235167,0.009206893438458503,0.009554491009790875,0.008986632440787378,0.20157809072629812,0.18158497719137157,0.1832825612128182,0.031626932962935644,0.031017112524300332,0.030953259988232697,0.41541413495362967,0.6356986100950988,0.4634048793494201,,,,ok,
GHL_id_22,34713,19,125,0.029298053448363184,0.025349808913837837,0.022486987023260033,0.47450476267829034,0.39856618734571386,0.27722303679472743,0.02731291368022187,0.023744857077345763,0.020153551190385175,0.4538991249671044,0.3793169782945674,0.25405368416173657,0.07969458698499006,0.06757999723383577,0.06676200378159364,0.47943888228972226,0.3115906886517944,0.4646098003629764,,,,ok,
GHL_id_3,34713,19,125,0.006335559270618181,0.0061458902531955,0.006348352753164522,0.24406204779459398,0.24170421753457205,0.1518101816035959,0.005637243041042393,0.005572709970407543,0.005073925047072252,0.21591299225544835,0.2127990624460646,0.11970123079077705,0.020866314111293686,0.02042479531008264,0.019312055264717815,0.10509486250266467,0.06827782009556124,0.06980778080640022,,,,ok,
Genesis,2551,18,125,0.08766786368226545,0.010321191020506585,0.12295692361674462,0.9706984012495827,0.725255961185702,0.9753477213738986,0.027761339670597924,0.0034847658699877783,0.03150977073013481,0.9161682127396412,0.592404452690167,0.9074681508967223,0.08766995685850464,0.010446028884766043,0.10837287703542164,0.15458937198067632,0.013542628501077255,0.1908548707753479,,,,ok,
GHL_id_4,34713,19,125,0.009670500751614016,0.009905697865515194,0.009063934287343686,0.3353896163646527,0.3584003312292567,0.17182049691358506,0.008864633418155228,0.009102068705264699,0.007232785594618573,0.30495548199751554,0.32971969609340174,0.13471552243258245,0.02947424570646288,0.02919050240124019,0.026766642823668696,0.427056164145366,0.09669211195928754,0.1435082388687624,,,,ok,
GHL_id_5,34713,19,125,0.008779936770553989,0.008748525591689173,0.008275293482848821,0.3937564296796447,0.37058530670732764,0.2611017316723256,0.00812424169293633,0.007996090205672789,0.006804084076613851,0.3684105818213676,0.34716927412915843,0.22994984467916912,0.025340120722054185,0.02449021078932909,0.02257211360209605,0.24271941158930524,0.23549435246789416,0.36633663366336633,,,,ok,
